Startup,Industry,Technology,Region,Employee count,Total funding €,Website
Alvion Pharmaceuticals Single Member P.C.,Advertising & Marketing (AdTech),Other,Attica,9,-
AMEN NEW TECHNOLOGIES I.K.E,"Environment & Energy (GreenTech, CleanTech)","3D Printing, Nanotech, Sensors",Attica,3,-
Anacalypsis Therapeutics PC,"Life Sciences (MedTech, HealthTech, BioTech)","Diagnostic/Imaging, Other",Attica,2,-
ANELIXIS PC,Data Analytics - Big Data,"AI, Cloud Computing, Data Analytics - Big Data, IoT",Attica,4,-
ANELYSIS PCC,Manufacturing,"AI, Cloud Computing, Hardware, IoT, Robotics",Attica,2,-
APHETOR ΥΠΟΚΑΤΑΣΤΗΜΑ ΑΛΛΟΔΑΠΗΣ ΕΠΕ,"Entertainment/Media (Games, Sports, Social)","AR/VR, Data Analytics - Big Data, Other, Web or Mobile Application",Attica,8,-
Apifon S.A.,Advertising & Marketing (AdTech),"AI, Data Analytics - Big Data, Networks, Software",Central Macedonia,63,-
APIRON HELLAS SINGLE MEMBER P.C,Data Analytics - Big Data,"AI, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Central Greece,8,-
Aquatic Biologicals SA,"Environment & Energy (GreenTech, CleanTech)",Other,Crete,2,-
Argo Semiconductors Societe Anonyme,Other,Hardware,Attica,16,-
Argo Technologies SMPC,"Environment & Energy (GreenTech, CleanTech)","AI, Cleantech, IoT, Software",Central Macedonia,-,33K
ARMONI UPATRAS PC,"Environment & Energy (GreenTech, CleanTech)",Other,Central Macedonia,2,-
ARTIFICIAL INTELLIGENCE SOFTWARE P.C. (ΛΟΓΙΣΜΙΚΟ ΤΕΧΝΙΤΗΣ ΝΟΗΜΟΣΥΝΗΣ ΙΚΕ),FinTech – Financial Services (WealthTech),"AI, Cloud Computing, Data Analytics - Big Data, IoT, Software",Attica,-,100K
ARTIFICIAL REEF INNOVATIVE APPLICATIONS,Maritime,Other,Crete,-,-
Asklepieia Health Cluster ΑΕ,Travel / Hospitality / Leisure,"Software, Web or Mobile Application",Attica,10,-
Athletopia (Seamx),Advertising & Marketing (AdTech),Web or Mobile Application,Central Macedonia,4,120K
Athroa Innovations,Other,"AI, Blockchain, Cleantech, Diagnostic/Imaging, Hardware, Nanotech, Networks, Other, Robotics, Sensors, Software, Web or Mobile Application",Attica,5,1.05M
Augmenta Agriculture Technologies Single Member Private Company,AgriTech / FoodTech,"AI, Cleantech, Data Analytics - Big Data, Diagnostic/Imaging, Hardware, IoT, Robotics, Sensors",Attica,46,9.7M
Autoduder,RetailTech – E-Commerce - FashionTech,"Data Analytics - Big Data, Other, Web or Mobile Application",Attica,12,700K
AVIATEC - AVIATION TRAINING CENTER SA,Defence Systems,"Drones, Sensors, Software",Attica,8,-
