Startup,Industry,Technology,Region,Employee count,Total funding €,Website
SPOTLIGHTPOS HELLAS ΜΟΝ/ΠΗ ΙΚΕ,RetailTech – E-Commerce - FashionTech,"Blockchain, Cloud Computing, Software, Web or Mobile Application",Attica,14,-
Squaredev Hellas,FinTech – Financial Services (WealthTech),"AI, Cloud Computing, Data Analytics - Big Data, Other, Software, Web or Mobile Application",Attica,12,-
SS IPPOKAMPOS ELLAS PC,Other,"AI, Software, Web or Mobile Application",Attica,3,-
STARTBIO PC,"Life Sciences (MedTech, HealthTech, BioTech)",Diagnostic/Imaging,Attica,14,238K
Stinporta.gr / Cretum P.C.,RetailTech – E-Commerce - FashionTech,Web or Mobile Application,Crete,3,-
Stoferno.gr,Logistics & Transportation,"IoT, Software, Web or Mobile Application",Attica,20,400K
StreamOwl Private Company,Data Analytics - Big Data,"3D Printing, AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, Drones, Hardware, IoT, Networks, Robotics, Sensors, Software",Attica,2,108K
Stymon Natural Products IKE,AgriTech / FoodTech,Other,Western Greece,6,1.01M
SUNLIGHT.IO GREECE SINGLE MEMBER P.C.,Other,"Cloud Computing, IoT, Software",Crete,40,-
Sustainable Seafood Company Single Member Private Company,AgriTech / FoodTech,"Other, Sensors",Attica,5,-
Swaplanet ΙΚΕ,RetailTech – E-Commerce - FashionTech,Web or Mobile Application,Attica,11,584K
SYMBIOLABS CIRCULAR INTELLIGENCE Ι.Κ.Ε.,Data Analytics - Big Data,"Data Analytics - Big Data, Software, Web or Mobile Application",Attica,3,-
Synthetica P.C,Data Analytics - Big Data,"AI, Data Analytics - Big Data, IoT, Software",Attica,12,500K
TAMASENCO HELLAS IKE,"Entertainment/Media (Games, Sports, Social)","AI, AR/VR, Other, Software, Web or Mobile Application",Attica,9,250
TechApps Healthier IKE,"Life Sciences (MedTech, HealthTech, BioTech)","Software, Web or Mobile Application",Attica,4,151K
Tekmon Private Company,Other,Software,Epirus,17,1.35M
TEN06.GR SM IKE,Travel / Hospitality / Leisure,"Software, Web or Mobile Application",Attica,4,-
TENDERTEC HELLAS IKE,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, Hardware, IoT, Other, Sensors, Software",Attica,3,400K
Tendertec Hellas Υποκατάστημα Αλλοδαπής,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, Hardware, IoT, Sensors, Software, Web or Mobile Application",Attica,-,400K
TERRA ROBOTICS P.C,AgriTech / FoodTech,"AI, Data Analytics - Big Data, Diagnostic/Imaging, Hardware, IoT, Robotics, Software",Central Macedonia,-,-
TERRAPLUS IKE,AgriTech / FoodTech,"Blockchain, IoT, Software, Web or Mobile Application",Western Greece,2,20K
THERMODRAFT Ι.Κ.Ε.,"Environment & Energy (GreenTech, CleanTech)","Cleantech, Other",Attica,3,336K
THESS IC Μονοπρόσωπη I.K.E.,Other,"Hardware, IoT, Other",Central Macedonia,20,-
ThetaBiomarkers,"Life Sciences (MedTech, HealthTech, BioTech)",Other,Central Macedonia,-,-
THIRD PARTY LOGISTICS PRIVATE COMPANY,RetailTech – E-Commerce - FashionTech,"AI, Blockchain, Data Analytics - Big Data, Software, Web or Mobile Application",Western Greece,25,-
Throo Technology Ι.Κ.Ε.,FinTech – Financial Services (WealthTech),"Other, Software",Attica,1,250K
