Startup,Industry,Technology,Region,Employee count,Total funding €,Website
PRIDEWORKS IKE,Travel / Hospitality / Leisure,Blockchain,Attica,-,-
PRIME COGNITION WORLD SINGLE MEMBER PRIVATE COMPANY,"Entertainment/Media (Games, Sports, Social)","Data Analytics - Big Data, Software, Web or Mobile Application",Attica,12,-
PROBOTEK,Other,"AI, AR/VR, Cloud Computing, Drones, Hardware, IoT, Networks, Robotics, Sensors, Software, Web or Mobile Application",Ionian Islands,8,-
PROCURE SHIP A.E.,Maritime,Software,Attica,24,-
PROELEFSIS TECHNOLOGIES P.C.`,AgriTech / FoodTech,"Blockchain, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Attica,1,4K
PROMILIST,Maritime,"AI, Cleantech, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,5,54K
PROSPERTY,Advertising & Marketing (AdTech),"AR/VR, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,55,1.1M
Protio,"Real Estate (PropTech, Construction)","AI, Cloud Computing, Data Analytics - Big Data, Other, Software, Web or Mobile Application",Attica,3,250K
Proud Farm Group of Farmers P.C.,AgriTech / FoodTech,"AI, Cloud Computing, IoT, Sensors",Western Macedonia,5,-
PURPOSEFUL ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,"Life Sciences (MedTech, HealthTech, BioTech)",AI,Attica,5,-
PVP MEDIA PC,Advertising & Marketing (AdTech),"Data Analytics - Big Data, Other",Attica,15,40K
PVPRO LTD,"Entertainment/Media (Games, Sports, Social)",Software,Attica,10,-
PYLIS IKE,Logistics & Transportation,"Cloud Computing, Data Analytics - Big Data, Web or Mobile Application",Attica,42,-
QC Analytics PC,LegalTech / RegTech,"Cloud Computing, Software, Web or Mobile Application",Central Greece,2,-
QCELL I.K.E.,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Diagnostic/Imaging, Hardware, Sensors, Software",Crete,10,3.52M
Quadible,FinTech – Financial Services (WealthTech),"AI, Data Analytics - Big Data, Software",Attica,4,-
QUALITECH ENGINEERING & COMPIANCE Μ.ΙΚΕ,"Life Sciences (MedTech, HealthTech, BioTech)","Data Analytics - Big Data, Other, Software",Attica,3,-
QUANT LAB Ι.Κ.Ε.,FinTech – Financial Services (WealthTech),"AI, Cloud Computing, Diagnostic/Imaging, Distributed Ledger, Software, Web or Mobile Application",Attica,9,-
Quantum Biometronics,"Life Sciences (MedTech, HealthTech, BioTech)","Diagnostic/Imaging, Quantum Computing, Sensors",Crete,3,273K
Quantum MarineWorks PC,"Environment & Energy (GreenTech, CleanTech)","Cleantech, Data Analytics - Big Data, Diagnostic/Imaging, Networks, Software, Web or Mobile Application",Attica,1,-
Quetri IT Solutions P.C.,FinTech – Financial Services (WealthTech),"AI, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Attica,6,-
Quintessential SFT IKE,"Real Estate (PropTech, Construction)","IoT, Software, Web or Mobile Application",Attica,21,100K
RADEFY,Travel / Hospitality / Leisure,"AI, Cleantech, Cloud Computing, Data Analytics - Big Data, Hardware, IoT, Sensors, Software, Web or Mobile Application",Attica,2,493K
RADICAL ELEMENTS PRIVATE COMPANY,RetailTech – E-Commerce - FashionTech,"Cloud Computing, Software, Web or Mobile Application",Attica,6,-
RAIVOTECH I. K. E.,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Cloud Computing, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Peloponnese,6,-
Rappid Studios IKE,"Entertainment/Media (Games, Sports, Social)","Software, Web or Mobile Application",Attica,5,-
RBN SAT CONSULTANTS IKE,Human Resources,"Data Analytics - Big Data, Other, Web or Mobile Application",Attica,20,100K
Readnet Publications PC,Other,"Blockchain, Distributed Ledger, Other, Software, Web or Mobile Application",Thessaly,2,-
Reality Technologies IKE,Other,"AR/VR, Hardware, Software",Attica,5,-
Recycglobe Private Company,"Environment & Energy (GreenTech, CleanTech)","Cleantech, Cloud Computing, Data Analytics - Big Data, Hardware, IoT, Networks, Sensors, Software, Web or Mobile Application",Attica,4,-
Recytrust IKE,"Environment & Energy (GreenTech, CleanTech)","Blockchain, Cloud Computing, Data Analytics - Big Data, Distributed Ledger, Hardware, IoT, Sensors, Software, Web or Mobile Application",Attica,2,-
REDI ENGINEERING SOLUTIONS IKE,"Real Estate (PropTech, Construction)","AI, IoT, Software, Web or Mobile Application",Western Macedonia,1,67K
REELEASE RECYCLING PRODUCTION EXPLOITATION AND RECYCLABLE PRODUCTS MARKETING P.C,"Environment & Energy (GreenTech, CleanTech)","3D Printing, Cleantech, Hardware",Attica,4,-
REFARM,AgriTech / FoodTech,"AI, IoT, Robotics, Software",South Aegean,-,-
releaz,"Real Estate (PropTech, Construction)","Data Analytics - Big Data, Software, Web or Mobile Application",Attica,5,-
Renthis2me,Other,"Software, Web or Mobile Application",Attica,4,-
RENVIS P.C.,Data Analytics - Big Data,"AI, Cloud Computing, Data Analytics - Big Data, Software, Web or Mobile Application",Central Macedonia,6,250K
Resnovae Private Company,"Environment & Energy (GreenTech, CleanTech)","AI, Other, Software, Web or Mobile Application",Attica,10,-
ResQ Biotech Private Company,"Life Sciences (MedTech, HealthTech, BioTech)",Other,Western Greece,3,870K
Retail Management Solutions MIKE,RetailTech – E-Commerce - FashionTech,"Data Analytics - Big Data, Software, Web or Mobile Application",Attica,-,-
RETHING IoT Technologies pc,"Environment & Energy (GreenTech, CleanTech)","AI, Cloud Computing, Data Analytics - Big Data, Hardware, IoT, Sensors, Software",Attica,7,80K
RETOUCH HS IKE,"Life Sciences (MedTech, HealthTech, BioTech)","Other, Robotics",Central Macedonia,2,-
RevApp Dynamics P.C.,Travel / Hospitality / Leisure,"Data Analytics - Big Data, Web or Mobile Application",Attica,3,65K
Reveffect,Travel / Hospitality / Leisure,"Data Analytics - Big Data, Software, Web or Mobile Application",Attica,5,-
Rhoé,"Environment & Energy (GreenTech, CleanTech)","Cleantech, Cloud Computing, Data Analytics - Big Data, IoT, Other, Software, Web or Mobile Application",Central Macedonia,10,507K
RoadCube,FinTech – Financial Services (WealthTech),"AI, Cloud Computing, Hardware, IoT, Software, Web or Mobile Application",Attica,30,1.5M
ROBENSO IKE,"Environment & Energy (GreenTech, CleanTech)","3D Printing, AI, Cleantech, IoT, Robotics, Sensors, Software",Crete,5,52K
Robosurvey Ltd,Mobility,"3D Printing, AI, Cloud Computing, Diagnostic/Imaging, Drones, IoT, Networks, Robotics, Sensors, Software, Web or Mobile Application",Attica,3,-
ROBOT-TO-GO P.C.,Logistics & Transportation,"AI, AR/VR, Hardware, Robotics, Software",Central Macedonia,4,-
RODI BG HELLAS ΜΟΝΟΠΡΟΣΩΠΗ ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,"Life Sciences (MedTech, HealthTech, BioTech)",Other,Attica,2,-
Roleplay Private Company,Advertising & Marketing (AdTech),Web or Mobile Application,Attica,6,-
RTsafe,"Life Sciences (MedTech, HealthTech, BioTech)","3D Printing, Hardware, Other, Software",Attica,21,3.33M
RUN4MORE P.C.,Advertising & Marketing (AdTech),Web or Mobile Application,Attica,-,30K
SafeSize Greece M.A.E.,RetailTech – E-Commerce - FashionTech,"AI, Data Analytics - Big Data, Hardware, Sensors, Software, Web or Mobile Application",Attica,18,-
Sail in Greece adventures IKE,Travel / Hospitality / Leisure,Other,Attica,20,2M
SAMMY PC,Travel / Hospitality / Leisure,"AI, Cloud Computing, Data Analytics - Big Data, Drones, IoT, Sensors, Software, Web or Mobile Application",Western Greece,2,-
Santorini Lost Atlantis,"Art, Cultural & Creative Industries","AR/VR, Other, Sensors",South Aegean,5,100K
SAPHETOR S.A Υποκατάστημα Αλλοδαπής,"Life Sciences (MedTech, HealthTech, BioTech)","Data Analytics - Big Data, Software",Attica,66,-
SchoolBusNet IKE,Logistics & Transportation,"Other, Software, Web or Mobile Application",Attica,9,-
SciDrones Ι.Κ.Ε.,"Environment & Energy (GreenTech, CleanTech)","AI, Cloud Computing, Data Analytics - Big Data, Drones, Networks, Software, Web or Mobile Application",North Aegean,1,-
Scientia Maris,"Environment & Energy (GreenTech, CleanTech)","AI, Cloud Computing, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,5,200K
ScienTra,Mobility,"Data Analytics - Big Data, IoT, Sensors, Web or Mobile Application",Attica,5,-
SCiO P.C.,AgriTech / FoodTech,"AI, Data Analytics - Big Data",Attica,14,1.09M
SE&C IKE,Other,Cleantech,Attica,-,70K
SEAORAMA P.C.,Maritime,"AI, Networks, Software",Attica,-,800K
SEEMS PC,Data Analytics - Big Data,"AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, Drones, Hardware, IoT, Networks, Sensors, Software, Web or Mobile Application",Eastern Macedonia and Thrace,12,-
Sense Space Informatics P.C.,Other,"AI, Drones, Hardware, Software, Web or Mobile Application",Crete,-,-
SERVE STERILE ΜΟΝΟΠΡΟΣΩΠΗ IKE,AgriTech / FoodTech,Other,Central Greece,1,-
SEVEN IFB SMPC,Advertising & Marketing (AdTech),Other,Attica,1,114K
Seven Red Lines P.C.,Data Analytics - Big Data,"AI, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Attica,15,-
SHUTTLE CATHETERS PC,"Life Sciences (MedTech, HealthTech, BioTech)",Other,Attica,12,125K
Signal Ocean Single Member Private Company,Data Analytics - Big Data,"AI, Data Analytics - Big Data, Software",Attica,51,100K
Silent Inbox P.C.,Other,"AI, Networks, Software, Web or Mobile Application",Central Macedonia,3,15K
Simpler,RetailTech – E-Commerce - FashionTech,"Software, Web or Mobile Application",Attica,14,-
Simplybook,Travel / Hospitality / Leisure,"Software, Web or Mobile Application",Crete,4,-
SINGLE MEMBER P.C. NULICIOUS,Advertising & Marketing (AdTech),Attica,2,200K
SIPIT IKE,RetailTech – E-Commerce - FashionTech,Web or Mobile Application,Attica,6,100K
SLOA LIMITED,Data Analytics - Big Data,"AI, Blockchain, Cloud Computing, Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Peloponnese,7,-
Smart Agro Hub S.A,AgriTech / FoodTech,"AI, Cloud Computing, Data Analytics - Big Data, Other, Software, Web or Mobile Application",Central Greece,1,-
Smart Shipping Technologies PC,Logistics & Transportation,"AI, Cloud Computing, Networks, Software, Web or Mobile Application",Attica,6,80K
SMART SHOPPING,Advertising & Marketing (AdTech),"AI, Data Analytics - Big Data, IoT",Central Macedonia,5,250K
SMARTCV PC,Human Resources,"Data Analytics - Big Data, Software, Web or Mobile Application",Attica,3,139K
Smarteching Education Ι.Κ.Ε,EduTech - Education,"Other, Web or Mobile Application",Central Macedonia,5,100K
SMARTREP Ι.Κ.Ε.,Other,"AI, Cloud Computing, Data Analytics - Big Data, Other, Web or Mobile Application",Attica,11,-
SMARTS Private Company,Other,"Data Analytics - Big Data, Other, Software, Web or Mobile Application",Central Greece,4,-
Smiling Machines I.K.E.,Data Analytics - Big Data,"AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, Hardware, IoT, Networks, Sensors, Software",Eastern Macedonia and Thrace,5,-
Socital Development Center Single Member PC,Advertising & Marketing (AdTech),"AI, Data Analytics - Big Data, Software, Web or Mobile Application",Attica,16,-
SOLBOTIX,Manufacturing,"AI, Cleantech, Data Analytics - Big Data, Hardware, Robotics, Software",Attica,3,-
Solmeyea,AgriTech / FoodTech,"Cleantech, Other",Attica,9,400K
SOTIRIA Technology,Defence Systems,"AI, Data Analytics - Big Data, Drones, Hardware, Networks, Robotics, Sensors, Software",Attica,6,-
SOURCELAIR ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,Other,"Cloud Computing, Networks, Software, Web or Mobile Application",Attica,1,200K
Space Talos LTD,Other,"Hardware, Robotics",Attica,4,733K
SPACEPRK,"Real Estate (PropTech, Construction)",Web or Mobile Application,Attica,4,-
Spania.io,"Entertainment/Media (Games, Sports, Social)",Blockchain,Attica,-,-
Sparklean IKE,Other,Web or Mobile Application,Attica,1,-
Speedporter,Advertising & Marketing (AdTech),"Networks, Software, Web or Mobile Application",Attica,1,2.99M
SPIN Analytics,Data Analytics - Big Data,"AI, Cloud Computing, Data Analytics - Big Data",Attica,5,-
SPIN ELEKTRIK I.K.E.,"Environment & Energy (GreenTech, CleanTech)","Cleantech, Hardware, IoT, Sensors",Attica,10,200K
SPIRIT AERONAUTICAL SYSTEMS S.A,Defence Systems,"AI, Drones, Robotics, Sensors",Attica,15,-
