Startup,Industry,Technology,Region,Employee count,Total funding €,Website
HourBus,Logistics & Transportation,"AI, Cloud Computing, Data Analytics - Big Data, IoT, Networks, Software, Web or Mobile Application",Attica,2,-
Hygieia P.C.,EduTech - Education,Other,Attica,2,-
ICOMAT LIMITED,Manufacturing,"3D Printing, Hardware, Robotics, Software",Attica,18,665K
Ideas Forward P.C.,Other,"AI, Blockchain, Cleantech, Cloud Computing, Data Analytics - Big Data, Distributed Ledger, IoT, Software, Web or Mobile Application",Central Macedonia,6,620K
iDNA Genomics I.K.E.,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Data Analytics - Big Data, Diagnostic/Imaging",Attica,12,-
IKORGANIC ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,Other,Other,Attica,10,-
IMAGIC NEW MEDIA STUDIO,Advertising & Marketing (AdTech),"Data Analytics - Big Data, IoT, Software, Web or Mobile Application",Eastern Macedonia and Thrace,-,-
Imagine and See IKE,RetailTech – E-Commerce - FashionTech,"AR/VR, Software, Web or Mobile Application",Attica,-,-
IMMUNE RECOGNITION PRIVATE CAPITAL COMPANY,"Life Sciences (MedTech, HealthTech, BioTech)","Blockchain, Other",Crete,1,40K
in.mat-Lab SMPC,Other,Other,Attica,4,-
InAccel,Data Analytics - Big Data,"AI, Cloud Computing, Data Analytics - Big Data, Hardware, Software",Attica,3,500K
inagros I.K.E.,AgriTech / FoodTech,"3D Printing, Data Analytics - Big Data, Hardware, IoT, Networks, Sensors, Software, Web or Mobile Application",Attica,9,10K
INCOTECH ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,"Environment & Energy (GreenTech, CleanTech)",Cleantech,Attica,1,-
INDUSTRY 4 FOR ENERGY P.C.,"Environment & Energy (GreenTech, CleanTech)","Blockchain, IoT, Software, Web or Mobile Application",Western Macedonia,2,-
INFALIA Private Company,Data Analytics - Big Data,"Data Analytics - Big Data, Software, Web or Mobile Application",Central Macedonia,10,-
Infili Technologies SA,Other,"AI, AR/VR, Data Analytics - Big Data, Drones, IoT, Robotics, Sensors, Software, Web or Mobile Application",Attica,13,-
Infin8 Applications PC,FinTech – Financial Services (WealthTech),"Data Analytics - Big Data, Software, Web or Mobile Application",Attica,3,-
Infiniti Platforms Greece Ltd.,EduTech - Education,"Software, Web or Mobile Application",Attica,5,-
INNOPOLIUM PC,Travel / Hospitality / Leisure,"Software, Web or Mobile Application",Attica,4,-
"Innovative Energy Materials Technologies, private company","Environment & Energy (GreenTech, CleanTech)","Cleantech, Hardware, Nanotech, Other, Sensors",Eastern Macedonia and Thrace,6,175K
INNOVATIVE MEDICAL RESEARCH ΙΑΤΡΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Diagnostic/Imaging",Attica,5,-
INNOVATIVE RESEARCH APPLICATIONS P.C. (INNORA),"Environment & Energy (GreenTech, CleanTech)","AI, Blockchain, Cloud Computing, Data Analytics - Big Data, Hardware, IoT, Networks, Sensors, Software",Western Macedonia,4,-
Innovitech IKE,Manufacturing,"3D Printing, Hardware, IoT, Networks, Robotics, Sensors, Software, Web or Mobile Application",Crete,6,-
Insiders Travel Experiences,Travel / Hospitality / Leisure,Web or Mobile Application,Attica,15,-
INSIGHIO P.C.,AgriTech / FoodTech,"Hardware, IoT, Networks, Sensors, Software",Attica,4,125K
instacar,Mobility,"IoT, Software, Web or Mobile Application",Attica,9,-
INTELEN HELLAS MONOPROSOPI IKE,Other,"Data Analytics - Big Data, Software, Web or Mobile Application",Attica,8,-
Inteligg Private Company,"Environment & Energy (GreenTech, CleanTech)","AI, Cleantech, Cloud Computing, Data Analytics - Big Data, Hardware, IoT, Sensors, Software, Web or Mobile Application",Attica,2,-
Intelistyle Ltd,RetailTech – E-Commerce - FashionTech,"AI, Data Analytics - Big Data, Software",Attica,7,661K
Intelligencia,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Data Analytics - Big Data, Software",Attica,90,13M
INTELSHIP MONOPROSOPI IDIOTIKI KEFALAIOUXIKI ETAIRIA,Maritime,Blockchain,Attica,2,50K
INTERMEDICAL NANODIAGNOSTICS LABORATORIES IKE,"Life Sciences (MedTech, HealthTech, BioTech)","Nanotech, Sensors",Attica,4,127K
Intoolab,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Data Analytics - Big Data",Attica,5,-
IONOS S.M.P.C.,AgriTech / FoodTech,"AR/VR, Drones, Robotics, Sensors, Software",Crete,3,-
IQTaxi Inc,Logistics & Transportation,"AI, Cloud Computing, Data Analytics - Big Data, Software, Web or Mobile Application",Central Macedonia,7,750K
ISCOUT PCo,AgriTech / FoodTech,"Diagnostic/Imaging, Drones, IoT, Sensors",North Aegean,-,-
isMOOD Data Technology Services IKE,Advertising & Marketing (AdTech),"AI, Blockchain, Data Analytics - Big Data, Web or Mobile Application",Attica,2,-
IT Economic Systems,Data Analytics - Big Data,Other,2,-
IT GOOD NEWS SERVICES ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,Other,"AR/VR, Software, Web or Mobile Application",Attica,5,-
ITRACK SERVICES LTD,Mobility,"IoT, Networks, Sensors",Attica,5,-
JADBio - Gnosis DA Α.Ε.,"Life Sciences (MedTech, HealthTech, BioTech)","AI, Cloud Computing, Data Analytics - Big Data, Diagnostic/Imaging, Software, Web or Mobile Application",Crete,10,2.22M
JOBSBNB IKE,Human Resources,"AI, Cloud Computing, Other, Software, Web or Mobile Application",Attica,3,-
Joule Ανώνυμη Εταιρεία,"Environment & Energy (GreenTech, CleanTech)","AI, Data Analytics - Big Data, Hardware, IoT, Software, Web or Mobile Application",Attica,6,-
JOYLLAMA IKE,"Entertainment/Media (Games, Sports, Social)",Software,Central Macedonia,1,-
Kardiatec SA,"Life Sciences (MedTech, HealthTech, BioTech)",Attica,7,53K
KAVOUSI ALI M.IKE - Product: TheList app,Travel / Hospitality / Leisure,"Software, Web or Mobile Application",Attica,7,-
KENOTOM IKE,Other,"Hardware, Other, Robotics, Software",Central Macedonia,93,-
